timestamp, x, y, z 
1.72883e+09, 63.1334, 118.897, -1.04347
1.72883e+09, 63.9722, 118.913, -1.04287
1.72883e+09, 64.8292, 118.922, -1.05205
1.72883e+09, 65.6913, 118.919, -1.06966
1.72883e+09, 66.5373, 118.92, -1.08948
1.72883e+09, 67.4079, 118.923, -1.10557
1.72883e+09, 68.2692, 118.923, -1.11537
1.72883e+09, 69.1299, 118.934, -1.124
1.72883e+09, 69.9924, 118.946, -1.10442
1.72883e+09, 70.8644, 118.968, -1.08502
1.72883e+09, 71.7469, 118.989, -1.0869
1.72883e+09, 72.621, 118.996, -1.10222
1.72883e+09, 73.4865, 119.015, -1.11241
1.72883e+09, 74.3465, 119.044, -1.1084
1.72883e+09, 75.2098, 119.067, -1.11503
1.72883e+09, 76.0699, 119.092, -1.12744
1.72883e+09, 76.9331, 119.123, -1.12336
1.72883e+09, 77.8055, 119.142, -1.11881
1.72883e+09, 78.68, 119.165, -1.10153
1.72883e+09, 79.5288, 119.196, -1.10945
1.72883e+09, 80.3843, 119.237, -1.1263
1.72883e+09, 81.2433, 119.276, -1.1425
1.72883e+09, 82.0994, 119.31, -1.13281
1.72883e+09, 82.9391, 119.332, -1.13099
1.72883e+09, 83.7824, 119.35, -1.14119
1.72883e+09, 84.6123, 119.376, -1.14552
1.72883e+09, 85.4442, 119.398, -1.14571
1.72883e+09, 86.2821, 119.416, -1.13157
1.72883e+09, 87.1021, 119.433, -1.1218
1.72883e+09, 87.9307, 119.452, -1.11254
1.72883e+09, 88.7636, 119.477, -1.10583
1.72883e+09, 89.5824, 119.504, -1.09874
1.72883e+09, 90.3959, 119.517, -1.08826
1.72883e+09, 91.1973, 119.53, -1.07168
1.72883e+09, 92.0022, 119.522, -1.05627
1.72883e+09, 92.8022, 119.521, -1.05487
1.72883e+09, 93.5797, 119.514, -1.04948
1.72883e+09, 94.343, 119.507, -1.03512
1.72883e+09, 95.0874, 119.503, -1.01072
1.72883e+09, 95.8354, 119.502, -1.00685
1.72883e+09, 96.5899, 119.506, -1.01164
1.72883e+09, 97.3659, 119.511, -1.01548
1.72883e+09, 98.1435, 119.523, -0.998768
1.72883e+09, 98.9123, 119.52, -0.96352
1.72883e+09, 99.6654, 119.511, -0.94006
1.72883e+09, 100.405, 119.489, -0.932119
1.72883e+09, 101.16, 119.448, -0.922255
1.72883e+09, 101.916, 119.402, -0.91013
1.72883e+09, 102.668, 119.37, -0.909748
1.72883e+09, 103.42, 119.348, -0.911705
1.72883e+09, 104.181, 119.324, -0.90525
1.72883e+09, 104.935, 119.296, -0.880324
1.72883e+09, 105.684, 119.271, -0.850598
1.72883e+09, 106.425, 119.24, -0.812403
1.72883e+09, 107.16, 119.214, -0.787474
1.72883e+09, 107.889, 119.182, -0.76838
1.72883e+09, 108.6, 119.137, -0.74239
1.72883e+09, 109.311, 119.061, -0.733999
1.72883e+09, 110.021, 118.976, -0.728682
1.72883e+09, 110.742, 118.864, -0.718189
1.72883e+09, 111.459, 118.75, -0.691962
1.72883e+09, 112.181, 118.629, -0.678654
1.72883e+09, 112.908, 118.498, -0.656997
1.72883e+09, 113.621, 118.366, -0.645141
1.72883e+09, 114.335, 118.224, -0.642978
1.72883e+09, 115.043, 118.087, -0.649337
1.72883e+09, 115.75, 117.959, -0.658842
1.72883e+09, 116.44, 117.838, -0.652886
1.72883e+09, 117.137, 117.719, -0.623289
1.72883e+09, 117.833, 117.6, -0.607267
1.72883e+09, 118.52, 117.47, -0.598328
1.72883e+09, 119.205, 117.343, -0.592101
1.72883e+09, 119.867, 117.224, -0.597853
1.72883e+09, 120.527, 117.116, -0.601863
1.72883e+09, 121.174, 117.009, -0.589108
1.72883e+09, 121.826, 116.908, -0.574755
1.72883e+09, 122.482, 116.802, -0.568634
1.72883e+09, 123.146, 116.711, -0.563814
1.72883e+09, 123.796, 116.625, -0.563118
1.72883e+09, 124.433, 116.547, -0.563419
1.72883e+09, 125.078, 116.471, -0.563047
1.72883e+09, 125.708, 116.392, -0.57167
1.72883e+09, 126.339, 116.318, -0.564439
1.72883e+09, 126.96, 116.251, -0.547699
1.72883e+09, 127.562, 116.195, -0.53771
1.72883e+09, 128.153, 116.131, -0.531938
1.72883e+09, 128.719, 116.089, -0.522667
1.72883e+09, 129.281, 116.047, -0.524051
1.72883e+09, 129.842, 116.014, -0.537286
1.72883e+09, 130.423, 115.995, -0.545358
1.72883e+09, 131.018, 115.974, -0.550638
1.72883e+09, 131.621, 115.964, -0.540833
1.72883e+09, 132.21, 115.953, -0.538785
1.72883e+09, 132.791, 115.959, -0.547064
1.72883e+09, 133.377, 115.977, -0.541136
1.72883e+09, 133.94, 116.023, -0.519201
1.72883e+09, 134.467, 116.082, -0.50943
1.72883e+09, 134.982, 116.172, -0.505834
1.72883e+09, 135.492, 116.275, -0.501912
1.72883e+09, 136.014, 116.395, -0.506543
